#string_protein_id	preferred_name	protein_size	annotation
1280.SAXN108_0011	serS	428	Catalyzes the attachment of serine to tRNA(Ser). Is also probably able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)
1280.SAXN108_0012	AID38453.1	231	annotation not available
1280.SAXN108_0013	AID38454.1	109	annotation not available
1280.SAXN108_0014	AID38455.1	322	Belongs to the AB hydrolase superfamily. MetX family. 
1280.SAXN108_0015	AID38456.1	307	annotation not available
1280.SAXN108_0016	AID38457.1	655	Has phosphodiesterase (PDE) activity against cyclic-di-AMP (c-di-AMP)
1280.SAXN108_0017	rplI	148	Binds to the 23S rRNA
1280.SAXN108_0018	SAXN108_0018	466	Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity. 
1280.SAXN108_0019	purA	427	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
1280.SAXN108_0020	walR	235	Member of the two-component regulatory system WalK/WalR that regulates genes involved in cell wall metabolism, virulence regulation, biofilm production, oxidative stress resistance and antibiotic resistance via direct or indirect regulation of autolysins . Functions as a transcription regulator by direct binding to promoter regions. Positively controls the cell wall-hydrolytic activity through regulation of atlA and lytM, as well as induces transcription of isaA, sceD, ssaA, and four ssaA- related genes. Binds directly to the lytM, ssaA and isaA promoter regions in vitro. ECO:0000269|P [...] 
1280.SAXN108_0021	walK	608	Member of the two-component regulatory system WalK/WalR that regulates genes involved in cell wall metabolism, virulence regulation, biofilm production, oxidative stress resistance and antibiotic resistance via direct or indirect regulation of autolysins . Functions as a sensor protein kinase which is autophosphorylated at a histidine residue in the dimerization domain and transfers its phosphate group to the conserved aspartic acid residue in the regulatory domain of WalR. In turn, WalR binds to the upstream promoter regions of the target genes to positively and negatively regulate th [...] 
1280.SAXN108_0022	AID38463.1	444	annotation not available
1280.SAXN108_0023	AID38464.1	262	annotation not available
1280.SAXN108_0024	AID38465.1	260	annotation not available
1280.SAXN108_0025	AID38466.1	772	annotation not available
1280.SAXN108_0026	rlmH	159	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
1280.SAXN108_0027	AID38468.1	45	annotation not available
1280.SAXN108_0028	AID38469.1	83	annotation not available
1280.SAXN108_0029	AID38470.1	267	annotation not available
1280.SAXN108_0030	AID38471.1	232	annotation not available
1280.SAXN108_0031	AID38472.1	240	annotation not available
1280.SAXN108_0032	AID38473.1	366	annotation not available
1280.SAXN108_0033	AID38474.1	123	annotation not available
1280.SAXN108_0034	AID38475.1	547	annotation not available
1280.SAXN108_0035	AID38476.1	38	annotation not available
1280.SAXN108_0036	AID38477.1	664	annotation not available
1280.SAXN108_0037	AID38478.1	66	annotation not available
1280.SAXN108_0038	AID38479.1	112	annotation not available
1280.SAXN108_0039	AID38480.1	103	annotation not available
1280.SAXN108_0040	AID38481.1	168	annotation not available
1280.SAXN108_0041	AID38482.1	105	annotation not available
1280.SAXN108_0042	tnp	193	Involved in the transposition of the insertion sequence
1280.SAXN108_0043	AID38484.1	51	annotation not available
1280.SAXN108_0044	AID38485.1	247	annotation not available
1280.SAXN108_0045	AID38486.1	134	annotation not available
1280.SAXN108_0046	AID38487.1	668	annotation not available
1280.SAXN108_0047	SAXN108_0047	431	annotation not available
1280.SAXN108_0048	AID38489.1	67	annotation not available
1280.SAXN108_0049	AID38490.1	382	annotation not available
1280.SAXN108_0050	AID38491.1	101	annotation not available
1280.SAXN108_0051	AID38492.1	312	annotation not available
1280.SAXN108_0052	AID38493.1	228	annotation not available
1280.SAXN108_0053	AID38494.1	86	annotation not available
1280.SAXN108_0054	AID38495.1	209	annotation not available
1280.SAXN108_0055	AID38496.1	205	annotation not available
1280.SAXN108_0056	AID38497.1	804	annotation not available
1280.SAXN108_0057	AID38498.1	93	annotation not available
1280.SAXN108_0058	AID38499.1	125	annotation not available
1280.SAXN108_0059	AID38500.1	609	annotation not available
1280.SAXN108_0060	AID38501.1	95	annotation not available
1280.SAXN108_0061	AID38502.1	173	annotation not available
1280.SAXN108_0062	AID38503.1	103	annotation not available
1280.SAXN108_0063	AID38504.1	556	annotation not available
1280.SAXN108_0064	AID38505.1	448	annotation not available
1280.SAXN108_0065	AID38506.1	58	annotation not available
1280.SAXN108_0066	AID38507.1	513	annotation not available
1280.SAXN108_0067	AID38508.1	95	annotation not available
1280.SAXN108_0068	AID38509.1	343	annotation not available
1280.SAXN108_0069	AID38510.1	85	annotation not available
1280.SAXN108_0070	AID38511.1	566	annotation not available
1280.SAXN108_0071	AID38512.1	346	annotation not available
1280.SAXN108_0072	AID38513.1	52	annotation not available
1280.SAXN108_0073	AID38514.1	43	annotation not available
1280.SAXN108_0074	AID38515.1	323	annotation not available
1280.SAXN108_0075	AID38516.1	123	annotation not available
1280.SAXN108_0076	AID38517.1	463	annotation not available
1280.SAXN108_0077	AID38518.1	67	annotation not available
1280.SAXN108_0078	AID38519.1	121	annotation not available
1280.SAXN108_0079	AID38520.1	191	annotation not available
1280.SAXN108_0080	AID38521.1	122	annotation not available
1280.SAXN108_0081	SAXN108_0081	328	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
1280.SAXN108_0082	AID38523.1	98	annotation not available
1280.SAXN108_0083	AID38524.1	200	annotation not available
1280.SAXN108_0084	AID38525.1	1050	annotation not available
1280.SAXN108_0085	AID38526.1	160	annotation not available
1280.SAXN108_0086	plc	328	Cleaves glycosylphosphatidylinositol (GPI) and phosphatidylinositol (PI) anchors but not PI phosphates. Potential virulence factor (By similarity)
1280.SAXN108_0087	AID38528.1	256	annotation not available
1280.SAXN108_0088	AID38529.1	745	annotation not available
1280.SAXN108_0089	AID38530.1	392	annotation not available
1280.SAXN108_0090	AID38531.1	462	annotation not available
1280.SAXN108_0091	AID38532.1	104	annotation not available
1280.SAXN108_0092	AID38533.1	438	annotation not available
1280.SAXN108_0093	AID38534.1	591	annotation not available
1280.SAXN108_0094	AID38535.1	157	annotation not available
1280.SAXN108_0095	SAXN108_0095	530	Transports L-lactate across the membrane. Can also transport D-lactate and glycolate
1280.SAXN108_0096	SAXN108_0096	368	annotation not available
1280.SAXN108_0097	sarS	250	Transcriptional regulator that controls expression of some virulence factors in a cell density-dependent manner. Acts as an activator of the gene encoding protein A (spa). Negatively regulates the expression of alpha-hemolysin (hla)
1280.SAXN108_0098	SAXN108_0098	332	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1280.SAXN108_0099	SAXN108_0099	331	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1280.SAXN108_0100	SAXN108_0100	330	annotation not available
1280.SAXN108_0101	sbnA	237	Catalyzes the synthesis of N-((2S)-2-amino-2-carboxyethyl)-L- glutamate (ACEGA) from O-phospho-L-serine and L-glutamate. Involved in the biosynthesis of L-2,3-diaminopropionic acid (L-Dap), a precursor of staphyloferrin B and antibiotics
1280.SAXN108_0102	AID38543.1	81	annotation not available
1280.SAXN108_0103	sbnB	336	Catalyzes the hydrolysis of N-((2S)-2-amino-2-carboxyethyl)- L-glutamate (ACEGA) to form L-2,3-diaminopropionic acid and 2- oxoglutarate. Involved in the biosynthesis of L-2,3-diaminopropionic acid (L-Dap), a precursor of staphyloferrin B and antibiotics. 
1280.SAXN108_0104	sbnC	584	Catalyzes the condensation of L-2,3-diaminopropionyl-citryl- diaminoethane and 2-oxoglutarate to form staphyloferrin B, the fourth and last step in staphyloferrin B biosynthesis. 
1280.SAXN108_0105	sbnD	418	Involved in staphyloferrin B secretion. 
1280.SAXN108_0106	sbnE	578	Catalyzes the synthesis of citryl-L-2,3-diaminopropionic acid from L-2,3-diaminopropionic acid (L-Dap) and citrate, the first step in staphyloferrin B biosynthesis
1280.SAXN108_0107	sbnF	565	Catalyzes the condensation of L-2,3-diaminopropionic acid (L- Dap) and citryl-diaminoethane to form L-2,3-diaminopropionyl-citryl- diaminoethane, the third step in staphyloferrin B biosynthesis. 
1280.SAXN108_0108	AID38549.1	147	Belongs to the HpcH/HpaI aldolase family. 
1280.SAXN108_0109	AID38550.1	111	annotation not available
1280.SAXN108_0110	sbnH	400	Catalyzes the decarboxylation of citryl-L-2,3- diaminopropionic acid to citryl-diaminoethane, the second step in staphyloferrin B biosynthesis
1280.SAXN108_0111	sbnI	254	Free serine kinase that uses ATP to phosphorylate L-serine to yield O-phospho-L-serine and ADP. O-phospho-L-serine serves as a substrate for SbnA and is a precursor for staphyloferrin B biosynthesis . Is also a DNA-binding regulatory protein that senses heme to control gene expression for siderophore biosynthesis. Binds to DNA within the sbnC coding region and is required for expression of genes in the sbn operon from sbnD onward . 
1280.SAXN108_0112	AID38553.1	208	annotation not available
1280.SAXN108_0113	SAXN108_0113	258	annotation not available
1280.SAXN108_0114	AID38555.1	323	annotation not available
1280.SAXN108_0115	AID38556.1	142	annotation not available
1280.SAXN108_0116	AID38557.1	388	annotation not available
1280.SAXN108_0117	AID38558.1	412	annotation not available
1280.SAXN108_0118	AID38559.1	476	annotation not available
1280.SAXN108_0119	sodM	199	Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems. May play a role in maintaining cell viability during the late- exponential and stationary phases of growth since it becomes a major source of activity under oxidative stress. Has a role in resisting external superoxide stress. Involved in acid tolerance and the acid- adaptive response. Mediates the derepression of perR regulon in the response to HOCl stress at low level of SOD activity (By similarity). 
1280.SAXN108_0120	AID38561.1	221	annotation not available
1280.SAXN108_0121	AID38562.1	246	annotation not available
1280.SAXN108_0122	deoD	235	annotation not available
1280.SAXN108_0123	AID38564.1	450	annotation not available
1280.SAXN108_0124	deoC	220	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy-D-ribose 5- phosphate
1280.SAXN108_0125	deoB	392	Phosphotransfer between the C1 and C5 carbon atoms of pentose
1280.SAXN108_0126	AID38567.1	271	annotation not available
1280.SAXN108_0127	AID38568.1	266	annotation not available
1280.SAXN108_0128	phnC	257	Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system
1280.SAXN108_0129	AID38570.1	306	annotation not available
1280.SAXN108_0130	AID38571.1	514	annotation not available
1280.SAXN108_0131	AID38572.1	511	Belongs to the 5'-nucleotidase family. 
1280.SAXN108_0132	AID38573.1	255	annotation not available
1280.SAXN108_0133	AID38574.1	391	annotation not available
1280.SAXN108_0134	SAXN108_0134	869	In the C-terminal section; belongs to the iron-containing alcohol dehydrogenase family
1280.SAXN108_0135	SAXN108_0135	222	annotation not available
1280.SAXN108_0136	SAXN108_0136	228	annotation not available
1280.SAXN108_0137	SAXN108_0137	254	annotation not available
1280.SAXN108_0138	AID38579.1	607	annotation not available
1280.SAXN108_0139	SAXN108_0139	342	annotation not available
1280.SAXN108_0140	AID38581.1	369	annotation not available
1280.SAXN108_0141	SAXN108_0141	374	Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
1280.SAXN108_0142	AID38583.1	359	annotation not available
1280.SAXN108_0143	AID38584.1	460	annotation not available
1280.SAXN108_0144	AID38585.1	185	annotation not available
1280.SAXN108_0145	AID38586.1	412	annotation not available
1280.SAXN108_0146	AID38587.1	401	annotation not available
1280.SAXN108_0147	SAXN108_0147	185	annotation not available
1280.SAXN108_0148	SAXN108_0148	295	annotation not available
1280.SAXN108_0149	SAXN108_0149	420	Belongs to the UDP-glucose/GDP-mannose dehydrogenase family
1280.SAXN108_0150	SAXN108_0150	381	Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
1280.SAXN108_0151	isdI	108	Allows bacterial pathogens to use the host heme as an iron source. Catalyzes the oxidative degradation of the heme macrocyclic porphyrin ring to the oxo-bilirubin chromophore staphylobilin (a mixture of the linear tetrapyrroles 5-oxo-delta-bilirubin and 15-oxo- beta-bilirubin) in the presence of a suitable electron donor such as ascorbate or NADPH--cytochrome P450 reductase, with subsequent release of free iron
1280.SAXN108_0152	AID38593.1	127	annotation not available
1280.SAXN108_0153	aldA	495	annotation not available
1280.SAXN108_0154	AID38595.1	319	annotation not available
1280.SAXN108_0155	AID38596.1	67	annotation not available
1280.SAXN108_0156	AID38597.1	170	annotation not available
1280.SAXN108_0157	AID38598.1	246	annotation not available
1280.SAXN108_0158	AID38599.1	324	annotation not available
1280.SAXN108_0159	AID38600.1	253	annotation not available
1280.SAXN108_0160	AID38601.1	344	annotation not available
1280.SAXN108_0161	AID38602.1	95	annotation not available
1280.SAXN108_0162	AID38603.1	341	Catalyzes the NAD(+)-dependent oxidation of formate to carbon dioxide. Formate oxidation is the final step in the methanol oxidation pathway in methylotrophic microorganisms. Has a role in the detoxification of exogenous formate in non-methylotrophic organisms. 
1280.SAXN108_0163	AID38604.1	416	annotation not available
1280.SAXN108_0164	AID38605.1	2397	Belongs to the ATP-dependent AMP-binding enzyme family. 
1280.SAXN108_0165	AID38606.1	214	Belongs to the P-Pant transferase superfamily. 
1280.SAXN108_0166	AID38607.1	164	annotation not available
1280.SAXN108_0167	argB	256	Catalyzes the ATP-dependent phosphorylation of N-acetyl-L- glutamate
1280.SAXN108_0168	argJ	413	Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of N-acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate. 
1280.SAXN108_0169	argC	344	Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde. 
1280.SAXN108_0170	rocD	394	Catalyzes the interconversion of ornithine to glutamate semialdehyde
1280.SAXN108_0171	AID38612.1	451	Component of the transport system for branched-chain amino acids
1280.SAXN108_0172	AID38613.1	185	annotation not available
1280.SAXN108_0173	AID38614.1	546	annotation not available
1280.SAXN108_0174	AID38615.1	46	annotation not available
1280.SAXN108_0175	ptsG	681	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in glucose transport. 
1280.SAXN108_0176	AID38617.1	351	annotation not available
1280.SAXN108_0177	murQ	298	Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6-phosphate and D- lactate
1280.SAXN108_0178	AID38619.1	484	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. 
1280.SAXN108_0179	AID38620.1	291	annotation not available
1280.SAXN108_0180	SAXN108_0180	929	Subunit R is required for both nuclease and ATPase activities, but not for modification
1280.SAXN108_0181	AID38622.1	287	annotation not available
1280.SAXN108_0182	AID38623.1	436	Belongs to the ABC transporter superfamily. 
1280.SAXN108_0183	AID38624.1	420	annotation not available
1280.SAXN108_0184	AID38625.1	387	annotation not available
1280.SAXN108_0185	SAXN108_0185	591	annotation not available
1280.SAXN108_0186	AID38627.1	668	annotation not available
1280.SAXN108_0187	azoR	208	Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity
1280.SAXN108_0188	AID38629.1	192	annotation not available
1280.SAXN108_0189	SAXN108_0189	365	Belongs to the ABC transporter superfamily. 
1280.SAXN108_0190	AID38631.1	423	annotation not available
1280.SAXN108_0191	AID38632.1	422	annotation not available
1280.SAXN108_0192	AID38633.1	279	annotation not available
1280.SAXN108_0193	AID38634.1	359	annotation not available
1280.SAXN108_0194	AID38635.1	346	annotation not available
1280.SAXN108_0195	AID38636.1	322	annotation not available
1280.SAXN108_0196	AID38637.1	164	annotation not available
1280.SAXN108_0197	SAXN108_0197	459	annotation not available
1280.SAXN108_0198	hptR	252	Member of the two-component regulatory system HptS/HptR that regulates genes involved in hexose phosphate transport system in response to changes in extracellular phosphate sources . Activates uhpT expression to facilitate glucose-6- phosphate/G6P utilization by directly binding to its promoter . Antagonizes CcpA-dependent transcription of a subset of CcpA-regulated genes involved in antibiotic susceptibility 
1280.SAXN108_0199	hptS	518	Member of the two-component regulatory system HptS/HptR that regulates genes involved in hexose phosphate transport system in response to changes in extracellular phosphate sources . May act as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to the conserved aspartic acid residue in the regulatory domain of HptS. In turn, HptS antagonizes CcpA-dependent transcription of a subset of CcpA-regulated genes involved in antibiotic susceptibility 
1280.SAXN108_0200	AID38641.1	322	annotation not available
1280.SAXN108_0201	pflB	749	Belongs to the glycyl radical enzyme (GRE) family. PFL subfamily
1280.SAXN108_0202	pflA	251	Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine
1280.SAXN108_0203	AID38644.1	55	annotation not available
1280.SAXN108_0204	AID38645.1	587	annotation not available
1280.SAXN108_0205	AID38646.1	114	annotation not available
1280.SAXN108_0206	AID38647.1	636	annotation not available
1280.SAXN108_0207	AID38648.1	394	Belongs to the thiolase-like superfamily. Thiolase family. 
1280.SAXN108_0208	AID38649.1	753	Belongs to the enoyl-CoA hydratase/isomerase family. 
1280.SAXN108_0209	AID38650.1	403	annotation not available
1280.SAXN108_0210	AID38651.1	420	annotation not available
1280.SAXN108_0211	AID38652.1	81	annotation not available
1280.SAXN108_0212	AID38653.1	520	Belongs to the 3-oxoacid CoA-transferase family. 
1280.SAXN108_0213	AID38654.1	223	annotation not available
1280.SAXN108_0214	AID38655.1	409	annotation not available
1280.SAXN108_0215	nikA	491	Part of the ABC transporter complex NikABCDE (Opp2) involved in nickel import. Binds nickel and transfers it to the membrane-bound permease. Required for full urease activity and plays a significant role in the virulence of S.aureus during urinary tract infection (UTI) . May bind nickel via a nickel-chelator 
1280.SAXN108_0216	AID38657.1	118	annotation not available
1280.SAXN108_0217	AID38658.1	57	annotation not available
1280.SAXN108_0218	AID38659.1	381	Belongs to the globin family. 
1280.SAXN108_0219	ldh1	317	Catalyzes the conversion of lactate to pyruvate (Potential). Appears to be the primary factor that allows S.aureus growth during nitrosative stress in both aerobically and anaerobically cultured cells (By similarity)
1280.SAXN108_0220	AID38661.1	41	annotation not available
1280.SAXN108_0221	AID38662.1	509	annotation not available
1280.SAXN108_0222	AID38663.1	311	annotation not available
1280.SAXN108_0223	AID38664.1	698	annotation not available
1280.SAXN108_0224	AID38665.1	155	annotation not available
1280.SAXN108_0225	AID38666.1	92	annotation not available
1280.SAXN108_0226	AID38667.1	419	annotation not available
1280.SAXN108_0227	SAXN108_0227	351	annotation not available
1280.SAXN108_0228	AID38669.1	48	annotation not available
1280.SAXN108_0229	AID38670.1	347	annotation not available
1280.SAXN108_0230	tarI'	238	Catalyzes the transfer of the cytidylyl group of CTP to D- ribitol 5-phosphate
1280.SAXN108_0231	tarJ'	341	Catalyzes the NADPH dependent reduction of D-ribulose 5- phosphate to D-ribitol 5-phosphate
1280.SAXN108_0232	tarK	564	Can catalyze the polymerization of the main chain of the major teichoic acid by sequential transfer of ribitol phosphate units from CDP-ribitol to the second glycerol phosphate attached to the disaccharide linkage unit
1280.SAXN108_0233	AID38674.1	45	annotation not available
1280.SAXN108_0234	tarF	389	Catalyzes the addition of a second glycerol phosphate unit from CDP-glycerol to the prenolpyrophosphate-linked disaccharide, to complete the linkage unit
1280.SAXN108_0235	tarI	238	Catalyzes the transfer of the cytidylyl group of CTP to D- ribitol 5-phosphate
1280.SAXN108_0236	tarJ	341	Catalyzes the NADPH dependent reduction of D-ribulose 5- phosphate to D-ribitol 5-phosphate
1280.SAXN108_0237	tarL	562	Responsible for the polymerization of the main chain of the major teichoic acid by sequential transfer of ribitol phosphate units from CDP-ribitol to the second glycerol phosphate attached to the disaccharide linkage unit. Synthesizes polymers of more than 40 ribitol phosphate units in length
1280.SAXN108_0238	AID38679.1	574	annotation not available
1280.SAXN108_0239	scdA	224	Di-iron-containing protein involved in the repair of iron- sulfur clusters damaged by oxidative and nitrosative stress conditions. 
1280.SAXN108_0240	lytS	584	Member of the two-component regulatory system LytR/LytS that regulates genes involved in autolysis, programmed cell death, biofilm formation and cell wall metabolism . Participates also in sensing and responding to host defense cationic antimicrobial peptides (CAMPs) . Functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to the conserved aspartic acid residue in the regulatory domain of LytR . In turn, LytR binds to the upstream promoter regions of target genes including lrgA and lrgB, to positively regulate their exp [...] 
1280.SAXN108_0241	lytR	246	Member of the two-component regulatory system LytR/LytS that regulates genes involved in autolysis, programmed cell death, biofilm formation and cell wall metabolism . Participates also in sensing and responding to host defense cationic antimicrobial peptides (HDPs) . Upon phosphorylation by LytS, functions as a transcription regulator by direct binding to promoter regions of target genes including lrgA and lrgB, to positively regulate their expression . 
1280.SAXN108_0242	lrgA	145	Inhibits the expression or activity of extracellular murein hydrolases by interacting, possibly with LrgB, with the holin-like proteins CidA and/or CidB. The LrgAB and CidAB proteins may affect the proton motive force of the membrane. Increases tolerance to penicillin possibly by inhibiting the formation of the CidAB holin-like complexes within the membrane, thus reducing penicillin-induced lethality. Possibly plays a role in programmed cell death (PCD), triggering PCD in response to penicillin, and possibly other antibiotics, and environmental stresses
1280.SAXN108_0243	lrgB	233	Inhibits the expression or activity of extracellular murein hydrolases by interacting, possibly with LrgA, with the holin-like proteins CidA and/or CidB. The LrgAB and CidAB proteins may affect the proton motive force of the membrane. Increases tolerance to penicillin possibly by inhibiting the formation of the CidAB holin-like complexes within the membrane, thus reducing penicillin-induced lethality. Possibly plays a role in programmed cell death (PCD), triggering PCD in response to penicillin, and possibly other antibiotics, and environmental stresses
1280.SAXN108_0244	AID38685.1	763	annotation not available
1280.SAXN108_0245	AID38686.1	234	annotation not available
1280.SAXN108_0246	AID38687.1	263	annotation not available
1280.SAXN108_0247	SAXN108_0247	478	Belongs to the glycosyl hydrolase 1 family. 
1280.SAXN108_0248	AID38689.1	253	annotation not available
1280.SAXN108_0249	rbsK	304	Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway. 
1280.SAXN108_0250	rbsD	134	Catalyzes the interconversion of beta-pyran and beta-furan forms of D-ribose
1280.SAXN108_0251	AID38692.1	293	annotation not available
1280.SAXN108_0252	AID38693.1	332	annotation not available
1280.SAXN108_0253	AID38694.1	130	annotation not available
1280.SAXN108_0254	AID38695.1	458	annotation not available
1280.SAXN108_0255	AID38696.1	330	annotation not available
1280.SAXN108_0256	lytM	316	Peptidoglycan hydrolase (autolysin) specifically acting on polyglycine interpeptide bridges of the cell wall peptidoglycan. 
1280.SAXN108_0257	AID38698.1	219	annotation not available
1280.SAXN108_0258	AID38699.1	306	annotation not available
1280.SAXN108_0259	AID38700.1	369	annotation not available
1280.SAXN108_0260	AID38701.1	507	annotation not available
1280.SAXN108_0261	AID38702.1	297	annotation not available
1280.SAXN108_0262	esxA	97	Virulence factor that is important for the establishment of infection in the host. EsxA is required for EsxB synthesis as well as secretion (By similarity). Modulates host cell apoptotic pathways and mediates together with EsxB the release of S.aureus from the host cell. By acting on apoptosis, plays a role in the modulation of dendritic cell-mediated immunity (By similarity). 
1280.SAXN108_0263	esaA	1009	Component of the type VII secretion system (Ess). Provides together with EssB and other components such as EssC and EssE a secretion platform across the cytoplasmic membrane in the host. 
1280.SAXN108_0264	AID38705.1	152	annotation not available
1280.SAXN108_0265	AID38706.1	80	annotation not available
1280.SAXN108_0266	essB	444	Component of the type VII secretion system (Ess) (Probable). Required for the secretion of EsxA and EsxB (By similarity). 
1280.SAXN108_0267	AID38708.1	1448	annotation not available
1280.SAXN108_0268	AID38709.1	88	annotation not available
1280.SAXN108_0269	AID38710.1	88	annotation not available
1280.SAXN108_0270	AID38711.1	556	annotation not available
1280.SAXN108_0271	AID38712.1	214	annotation not available
1280.SAXN108_0272	AID38713.1	151	annotation not available
1280.SAXN108_0273	AID38714.1	152	annotation not available
1280.SAXN108_0274	AID38715.1	195	annotation not available
1280.SAXN108_0275	AID38716.1	72	annotation not available
1280.SAXN108_0276	AID38717.1	166	annotation not available
1280.SAXN108_0277	essG	166	Component of the type VII secretion system (Ess). Acts also as part of toxin-antitoxin system. Counteracts the toxic effect of EssD via direct interaction
1280.SAXN108_0278	AID38719.1	163	annotation not available
1280.SAXN108_0279	AID38720.1	139	annotation not available
1280.SAXN108_0280	AID38721.1	124	annotation not available
1280.SAXN108_0281	AID38722.1	129	annotation not available
1280.SAXN108_0282	AID38723.1	130	annotation not available
1280.SAXN108_0283	AID38724.1	118	annotation not available
1280.SAXN108_0284	AID38725.1	166	annotation not available
1280.SAXN108_0285	AID38726.1	75	annotation not available
1280.SAXN108_0286	AID38727.1	40	annotation not available
1280.SAXN108_0287	AID38728.1	103	annotation not available
1280.SAXN108_0288	AID38729.1	132	annotation not available
1280.SAXN108_0289	AID38730.1	274	annotation not available
1280.SAXN108_0290	AID38731.1	435	Component of the transport system for branched-chain amino acids
1280.SAXN108_0291	AID38732.1	296	annotation not available
1280.SAXN108_0292	AID38733.1	349	annotation not available
1280.SAXN108_0293	AID38734.1	225	annotation not available
1280.SAXN108_0294	AID38735.1	343	annotation not available
1280.SAXN108_0295	AID38736.1	372	annotation not available
